Category,Product,Energy value (kcal),Protein (g),Fat (g),Saturated fat (g),Cholesterol (mg),Vitamin B12 (mcg),Na (mg),P (mg),Fe (mg),Zn (mg)
"Meat, raw/unprepared unless noted otherwise"," Pork bacon, cured, unprepared",417,12.62,39.69,13.296,66,0.5,662,144,0.41,1.18
"Fish, raw/unprepared"," Tuna, yellowfin",109,24.4,0.49,0.172,39,2.08,45,278,0.77,0.37
"Fish, raw/unprepared"," Salmon, Atlantic",142,19.84,6.34,0.981,55,3.18,44,200,0.8,0.64
"Fish, raw/unprepared"," Pollock, Atlantic",92,19.44,0.98,0.135,71,3.19,86,221,0.46,0.47
"Fish, raw/unprepared"," Halibut, Atlantic",91,18.56,1.33,0.292,49,1.1,68,236,0.16,0.36
"Fish, raw/unprepared", Tilapia,96,20.08,1.7,0.585,50,1.58,52,170,0.56,0.33
"Fish, raw/unprepared"," Catfish, wild channel",95,16.38,2.82,0.722,58,2.23,43,209,0.3,0.51
"Non-meat, raw/unprepared"," Chicken eggs, whole",143,12.56,9.51,3.126,372,0.89,142,198,1.75,1.29
"Non-meat, raw/unprepared"," Yogurt, Greek non-fat",59,10.19,0.39,0.117,5,0.75,36,135,0.07,0.52
"Non-meat, raw/unprepared", Kale,49,4.28,0.93,0.091,0,0,38,92,1.47,0.56
"Non-meat, raw/unprepared"," Lentils, sprouted",106,8.96,0.55,0.057,0,0,11,173,3.21,1.51
"Non-meat, raw/unprepared"," Broccoli, heads",34,2.82,0.37,0.039,0,0,33,66,0.73,0.41
"Non-meat, raw/unprepared", Green peas,81,5.42,0.4,0.071,0,0,5,108,1.47,1.24
"Non-meat, raw/unprepared", Spinach,23,2.86,0.39,0.063,0,0,79,49,2.71,0.53
"Non-meat, raw/unprepared"," Black beans, mature",341,21.6,1.42,0.366,0,0,5,352,5.02,3.65
"Non-meat, raw/unprepared"," Pinto beans, mature",62,5.25,0.9,0.109,0,0,153,94,1.97,0.5
"Non-meat, raw/unprepared"," Lima beans, immature",113,6.84,0.86,0.198,0,0,0.78,136,3.14,0.78
"Non-meat, raw/unprepared"," Kidney beans, mature",29,4.2,0.5,0.72,0,0,6,37,0.81,0.4
"Non-meat, raw/unprepared"," Great northern beans, mature",339,21.86,1.14,0.356,0,0,14,447,5.47,2.31
"Non-meat, raw/unprepared"," Tofu, firm, prepared with CaSO4 and MgCl2",78,9.04,4.17,0.793,0,0,12,121,1.61,0.83
"Non-meat, raw/unprepared"," Tofu, soft, prepared with CaSO4 and MgCl2",61,7.17,3.69,0.533,0,0,8,92,1.11,0.64
"Non-meat, raw/unprepared", Hummus,166,7.9,9.6,1.437,0,0,379,176,2.44,1.83
"Non-meat, raw/unprepared", Peanuts,567,25.8,49.24,6.279,0,0,18,376,4.58,3.27
"Non-meat, raw/unprepared", Almonds,579,21.15,49.93,3.802,0,0,1,481,3.71,3.12
"Non-meat, raw/unprepared", Cashews,553,18.22,43.85,7.783,0,0,12,593,6.68,5.78
